area,la_city,covid_cases,covid_per_1k,lacounty_rate,Population,Share 65+,pct_white,pct_black,pct_latino,pct_asian,below_poverty_line,hh_overcrowding,avg_hh_size,housing_units,sq_mileage,housing_density,pop_density
Bel-Air,Yes,31,4.07,3.68,7623,0.27,0.75,0.03,0.07,0.10,0.03,0.01,2.58,3449,6.40,539,1191
El Segundo,No,30,1.78,1.79,16850,0.12,0.65,0.02,0.18,0.09,0.08,0.03,2.55,6975,5.50,1268,3064
Century City,Yes,30,12.96,2.35,2314,0.47,0.70,0.01,0.01,0.24,0.04,0.02,1.67,1962,0.70,2803,3306
Quartz Hill,No,29,3.07,2.25,9443,0.16,0.58,0.07,0.28,0.04,0.11,0.02,2.86,3480,3.80,916,2485
Claremont,No,28,0.73,0.77,38195,0.20,0.50,0.05,0.27,0.13,0.09,0.02,2.70,13478,16.70,807,2287
South San Jose Hills,No,28,1.18,1.38,23798,0.11,0.04,0.02,0.80,0.13,0.15,0.18,4.64,5421,1.50,3614,15865
View Park-Windsor Hills,No,28,2.42,2.41,11580,0.22,0.07,0.79,0.09,0.02,0.08,0.01,2.40,5127,1.80,2848,6433
Echo Park,Yes,27,0.76,1.89,35650,0.10,0.26,0.04,0.53,0.14,0.21,0.13,2.62,13982,2.40,5826,14854
Elysian Valley,Yes,26,3.82,2.56,6799,0.15,0.11,0.01,0.64,0.23,0.11,0.12,3.30,2171,0.80,2714,8499
Hermosa Beach,No,25,1.27,1.27,19650,0.12,0.79,0.01,0.09,0.06,0.05,0.01,2.16,10049,1.50,6699,13100
Lake Los Angeles,No,25,2.18,1.92,11467,0.11,0.33,0.11,0.53,0.01,0.30,0.03,3.48,3732,7.00,533,1638
Walnut,No,25,0.83,0.82,30008,0.19,0.11,0.03,0.21,0.64,0.07,0.02,3.29,9567,9.00,1063,3334
West Puente Valley,No,24,1.03,2.44,23400,0.13,0.04,0.02,0.83,0.10,0.11,0.14,4.60,5226,1.90,2751,12316
Jefferson Park,Yes,23,0.92,2.85,25114,0.11,0.06,0.33,0.54,0.04,0.23,0.15,3.10,8585,1.40,6132,17939
Stevenson Ranch,No,21,3.51,1.00,5979,0.10,0.53,0.03,0.16,0.24,0.08,0.01,3.46,1771,3.10,571,1929
Playa Vista,Yes,20,1.51,1.83,13249,0.09,0.48,0.08,0.16,0.25,0.10,0.02,2.24,6730,1.30,5177,10192
Unincorporated Santa Monica Mountains,No,19,0.68,1.02,27871,0.18,0.76,0.02,0.10,0.08,0.08,0.01,2.58,11242,89.30,126,312
La Verne,No,18,0.53,0.54,34177,0.19,0.50,0.04,0.36,0.07,0.07,0.03,2.81,12361,8.60,1437,3974
Cheviot Hills,Yes,18,1.98,1.96,9094,0.19,0.75,0.02,0.12,0.09,0.05,0.01,2.49,3974,1.50,2649,6063
La Crescenta-Montrose,No,17,0.84,0.86,20188,0.16,0.52,0.00,0.18,0.27,0.07,0.04,2.89,7746,3.40,2278,5938
Ladera Heights,No,17,2.36,2.40,7210,0.27,0.14,0.70,0.06,0.05,0.09,0.01,2.48,3010,2.90,1038,2486
Manchester Square,Yes,16,1.82,1.87,8776,0.16,0.03,0.70,0.24,0.01,0.20,0.05,2.83,3321,1.00,3321,8776
Artesia,No,15,0.89,0.89,16817,0.15,0.19,0.04,0.37,0.36,0.10,0.13,3.78,4853,1.60,3033,10511
Commerce,No,15,1.11,1.15,13510,0.13,0.02,0.03,0.92,0.01,0.19,0.15,3.61,3698,6.60,560,2047
Avocado Heights,No,14,1.41,2.07,9957,0.15,0.06,0.01,0.84,0.09,0.11,0.12,4.22,2470,2.90,852,3433
South San Gabriel,No,14,1.04,1.58,13412,0.19,0.05,0.00,0.38,0.55,0.10,0.18,3.39,3910,1.40,2793,9580
Rolling Hills Estates,No,13,1.58,1.60,8232,0.24,0.56,0.02,0.10,0.28,0.04,0.02,2.73,3163,3.80,832,2166
Toluca Lake,Yes,13,1.22,1.49,10674,0.14,0.70,0.05,0.13,0.08,0.10,0.04,1.99,5654,1.20,4712,8895
Rancho Dominguez,No,12,3.58,4.51,3356,0.17,0.24,0.29,0.41,0.04,0.10,0.08,3.22,1084,2.70,401,1243
San Marino,No,12,0.90,0.90,13285,0.22,0.32,0.01,0.10,0.54,0.09,0.01,2.92,5051,3.80,1329,3496
Rancho Park,Yes,12,4.80,1.83,2500,0.18,0.48,0.02,0.19,0.26,0.07,0.06,2.54,1031,0.60,1718,4167
Hawaiian Gardens,No,11,1.03,0.75,10645,0.10,0.06,0.03,0.82,0.07,0.25,0.22,3.93,2761,1.00,2761,10645
Marina del Rey,No,11,1.13,1.17,9771,0.11,0.70,0.07,0.10,0.09,0.14,0.02,1.75,6132,1.50,4088,6514
Elysian Park,Yes,11,58.20,1.93,189,0.24,0.31,0.02,0.46,0.21,0.72,0.32,2.33,69,1.60,43,118
Del Aire,No,10,0.72,2.28,13911,0.11,0.26,0.10,0.52,0.06,0.12,0.09,3.24,4729,1.00,4729,13911
Chinatown,Yes,10,0.44,1.25,22945,0.12,0.13,0.15,0.35,0.34,0.32,0.19,2.54,5838,0.90,6487,25494
East La Mirada,No,9,0.87,1.70,10391,0.15,0.36,0.00,0.56,0.05,0.09,0.08,3.08,3471,1.10,3155,9446
Signal Hill,No,9,0.78,0.76,11555,0.11,0.32,0.11,0.29,0.26,0.14,0.06,2.57,4776,2.20,2171,5252
Shadow Hills,Yes,9,0.68,2.03,13207,0.19,0.72,0.01,0.16,0.09,0.08,0.03,2.80,4819,12.80,376,1032
Acton,No,8,1.05,1.00,7613,0.16,0.72,0.02,0.21,0.02,0.09,0.03,2.86,2884,39.30,73,194
Industry,No,7,0.26,16.02,27091,0.15,0.11,0.01,0.57,0.31,0.10,0.14,3.98,7456,12.40,601,2185
North Whittier,No,6,2.07,0.72,2904,0.15,0.19,0.01,0.61,0.16,0.07,0.00,2.81,1121,5.50,204,528
Westlake Village,No,6,1.41,0.72,4258,0.27,0.80,0.00,0.10,0.08,0.05,0.01,2.70,1818,5.60,325,760
Sierra Madre,No,5,0.45,0.46,11006,0.22,0.67,0.01,0.16,0.11,0.06,0.02,2.53,5075,3.00,1692,3669
La Habra Heights,No,4,0.36,0.73,11118,0.23,0.52,0.00,0.33,0.13,0.03,0.03,3.11,3630,6.20,585,1793
Agua Dulce,No,2,0.49,0.48,4074,0.17,0.78,0.00,0.16,0.02,0.09,0.02,2.96,1361,31.50,43,129
Irwindale,No,2,1.42,1.37,1405,0.14,0.05,0.00,0.93,0.01,0.09,0.08,3.67,415,9.60,43,146
Rolling Hills,No,2,1.23,1.03,1630,0.32,0.73,0.01,0.06,0.16,0.02,0.01,2.74,712,3.60,198,453
